INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
6425,05/03/2012 02:59:00 PM,2012-168919,LCP120503001199,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX E MCMILLAN ST,,,MALE,BLACK,MALE,WHITE
-2442,03/10/1999 01:07:00 AM,9900210,P990690050,DISTRICT 2,9826,INJURY TO PRISONER,66XX MONTGOMERY,,,MALE,BLACK,MALE,WHITE
-2442,03/10/1999 01:07:00 AM,9900210,P990690050,DISTRICT 2,9826,INJURY TO PRISONER,66XX MONTGOMERY,,,MALE,BLACK,MALE,WHITE
-1900,08/28/1998 05:17:00 PM,9800660,P982401035,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,12XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-1900,08/28/1998 05:17:00 PM,9800660,P982401035,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,12XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-364,01/01/1997 02:35:00 AM,9700003,P970010245,DISTRICT 3,9825,CHEMICAL IRRITANT,40XX W 8TH ST,,,MALE,WHITE,FEMALE,WHITE
-1513,04/14/1998 06:41:00 PM,9800269,P981041017,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,X WEST CORRY ST,,,MALE,WHITE,MALE,WHITE
-1513,04/14/1998 06:41:00 PM,9800269,P981041017,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,X WEST CORRY ST,,,MALE,WHITE,MALE,WHITE
-2410,02/19/1999 07:55:00 PM,9900178,P990501030,DISTRICT 1,9826,INJURY TO PRISONER,10XX SYCAMORE,,,MALE,BLACK,MALE,WHITE
-3878,06/12/2000 03:32:00 PM,20000574,P001640876,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX WEST TWELFTH ST,,,MALE,BLACK,MALE,WHITE
7293,03/01/2014 01:50:00 AM,2014-189227,LCP140301000121,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,12XX MAIN ST CINCINNATI OHIO 45202,,,MALE,BLACK,MALE,BLACK
-5183,06/14/2001 12:52:00 AM,20010603,P011650033,DISTRICT 5,9826,INJURY TO PRISONER,54XX HEBRON COURT,,,MALE,BLACK,MALE,WHITE
-6550,12/16/2002 10:38:00 AM,20020806,P023500372,DISTRICT 4,9825,CHEMICAL IRRITANT,25XX EUCLID AVNUE,,,MALE,BLACK,FEMALE,WHITE
-3518,03/07/2000 01:40:00 AM,20000207,P000661405,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,WHITE,MALE,BLACK
3766,02/17/2008 12:45:00 AM,2008-110145,LCP080217000062,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,46XX RAPID RUN,,,MALE,WHITE,MALE,BLACK
1264,06/23/2005 03:40:00 PM,2005-68645,P051741140,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX MCPHERSON AV,,,MALE,BLACK,MALE,WHITE
4247,09/17/2008 11:10:00 PM,2008-120477,LCP080917002142,DISTRICT 1,9826,INJURY TO PRISONER,1XX LOCKHURST LN,,,FEMALE,BLACK,MALE,WHITE
8022,08/12/2015 10:00:00 AM,2015-204875,LCP150812000452,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,21XX STORRS,,,MALE,BLACK,MALE,WHITE
6942,06/18/2013 03:09:00 AM,2013-181830,LCP130618000155,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X STABURN AV,,,MALE,WHITE,MALE,WHITE
2704,09/04/2006 02:15:00 PM,2006-90345,P062470753,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,6XX RIDDLE RD 00,,,MALE,WHITE,FEMALE,WHITE
-916,08/11/1997 02:04:00 AM,9700567,P972230133,DISTRICT 4,9826,INJURY TO PRISONER,22XX GILBERT AV,,,MALE,BLACK,MALE,WHITE
-2797,07/08/1999 12:30:00 AM,9900565,P991890052,DISTRICT 1,9826,INJURY TO PRISONER,2XX E 9TH,,,MALE,BLACK,MALE,BLACK
-7583,02/06/2004 02:30:00 PM,20040082,P040370764,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX GOODMAN AV,,,MALE,BLACK,FEMALE,BLACK
-3234,12/11/1999 12:07:00 AM,9901004,P993450003,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,5XX BLAIR,,,MALE,BLACK,MALE,BLACK
-5117,05/13/2001 02:20:00 AM,20010537,P011330154,DISTRICT 1,9826,INJURY TO PRISONER,12XX MAIN STREET,,,MALE,WHITE,FEMALE,WHITE
-3867,06/21/2000 10:20:00 PM,20000561,P001731713,DISTRICT 1,9826,INJURY TO PRISONER,2XX EAST PETE ROSE WAY,,,MALE,WHITE,MALE,WHITE
-3867,06/21/2000 10:20:00 PM,20000561,P001731713,DISTRICT 1,9826,INJURY TO PRISONER,2XX EAST PETE ROSE WAY,,,MALE,WHITE,MALE,WHITE
-7073,06/27/2003 12:51:00 AM,20030498,P031780062,DISTRICT 3,9826,INJURY TO PRISONER,15XX FAIRMOUNT AV,,,MALE,BLACK,MALE,WHITE
-7904,06/19/2004 10:52:00 PM,20040404,P041711665,DISTRICT 4,9825,CHEMICAL IRRITANT,XX E DANIELS,,,MALE,BLACK,MALE,BLACK
-320,11/05/1996 03:20:00 PM,9600475,P963100718,DISTRICT 5,9826,INJURY TO PRISONER,25XX HARTSHORN AV,,,MALE,BLACK,MALE,WHITE
6795,02/15/2013 09:42:00 PM,2013-178347,LCP130215001579,DISTRICT 1,9826,INJURY TO PRISONER,5XX MAIN ST,,,MALE,BLACK,MALE,BLACK
1007,04/06/2005 04:07:00 PM,2005-64635,P050961120,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,58XX MONFORT HLS,,,MALE,BLACK,MALE,WHITE
-6971,05/12/2003 11:54:00 PM,20030396,P031321891,DISTRICT 2,9826,INJURY TO PRISONER,23XX BREMONT AV,,,FEMALE,BLACK,MALE,WHITE
9096,09/17/2017 12:12:00 AM,2017-228799,CPD170916002178,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E LIBERTY ST CINCINNATI OHIO 45202,,,MALE,WHITE,MALE,WHITE
-346,12/28/1996 06:53:00 PM,9600503,P963630923,DISTRICT 3,9826,INJURY TO PRISONER,8XX STATE ST,,,FEMALE,WHITE,MALE,WHITE
-346,12/28/1996 06:53:00 PM,9600503,P963630923,DISTRICT 3,9826,INJURY TO PRISONER,8XX STATE ST,,,FEMALE,WHITE,MALE,WHITE
-3425,02/14/2000 03:49:00 AM,20000114,P000450182,DISTRICT 4,9825,CHEMICAL IRRITANT,35XX  BURNET,,,MALE,BLACK,MALE,BLACK
2495,08/09/2006 01:02:00 AM,2006-86713,P062210091,DISTRICT 2,9826,INJURY TO PRISONER,19XX EASTERN AV CINTI OH 45226,,,MALE,WHITE,MALE,WHITE
-3280,12/16/1999 01:57:00 PM,9901050,P993500796,DISTRICT 4,9825,CHEMICAL IRRITANT,35XX BURNET,,,MALE,BLACK,MALE,BLACK
536,01/30/2004 09:25:00 AM,2005-60339,P040300333,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,24XX MCMICKEN AV,,,FEMALE,BLACK,MALE,WHITE
536,01/30/2004 09:25:00 AM,2005-60339,P040300333,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,24XX MCMICKEN AV,,,FEMALE,BLACK,MALE,WHITE
536,01/30/2004 09:25:00 AM,2005-60339,P040300333,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,24XX MCMICKEN AV,,,FEMALE,BLACK,MALE,WHITE
312,11/21/2004 02:50:00 AM,2004-52112,P043260210,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX E TWELFTH ST,,,MALE,WHITE,MALE,WHITE
-1429,03/02/1998 02:13:00 AM,9800182,P980610155,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,10XX CHAPEL,,,MALE,BLACK,MALE,WHITE
7306,03/10/2014 09:41:00 PM,2014-189523,LCP140310001555,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX HAMER ST,,,MALE,BLACK,MALE,WHITE
-6769,03/11/2003 07:25:00 PM,20030192,P030701432,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,71XX READING RD,,,MALE,BLACK,MALE,WHITE
-4896,04/10/2001 04:00:00 PM,20010315,,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX WEST LIBERTY ST,,,MALE,BLACK,MALE,WHITE
-3001,09/11/1999 04:10:00 AM,9900770,P992540341,DISTRICT 4,9826,INJURY TO PRISONER,XX HOLLISTER,,,MALE,BLACK,FEMALE,WHITE
4095,06/16/2008 08:25:00 PM,2008-117313,LCP080616001683,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX ECMICKEN AV,,,MALE,BLACK,MALE,WHITE
4095,06/16/2008 08:25:00 PM,2008-117313,LCP080616001683,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX ECMICKEN AV,,,MALE,BLACK,MALE,WHITE
4095,06/16/2008 08:25:00 PM,2008-117313,LCP080616001683,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX ECMICKEN AV,,,MALE,BLACK,MALE,WHITE
4253,09/08/2008 09:20:00 PM,2008-120737,LCP080908001704,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,26XX BEEKMAN AV 1ST FL,,,FEMALE,BLACK,MALE,WHITE
4253,09/08/2008 09:20:00 PM,2008-120737,LCP080908001704,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,26XX BEEKMAN AV 1ST FL,,,FEMALE,BLACK,MALE,WHITE
4344,11/05/2008 05:55:00 PM,2008-122820,LCP081105001289,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX E CORRY,,,FEMALE,BLACK,MALE,BLACK
-922,08/18/1997 08:15:00 AM,9700573,P972300337,DISTRICT 3,9825,CHEMICAL IRRITANT,22XX CITY VIEW CT,,,MALE,BLACK,MALE,BLACK
-4974,04/11/2001 03:35:00 AM,20010393,P011000806,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX VINE STREET,,,MALE,BLACK,MALE,WHITE
8130,09/30/2015 10:54:00 PM,2015-205766,LCP1530001894,DISTRICT 5,9826,INJURY TO PRISONER,29XX CENTRAL PARKWAY CINCINNATI OHIO,,,MALE,BLACK,MALE,WHITE
8130,09/30/2015 10:54:00 PM,2015-205766,LCP1530001894,DISTRICT 5,9826,INJURY TO PRISONER,29XX CENTRAL PARKWAY CINCINNATI OHIO,,,MALE,BLACK,MALE,WHITE
-1736,06/30/1998 11:12:00 PM,9800496,P981811436,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX SEYMOUR AV,,,MALE,WHITE,FEMALE,AMERICAN INDIAN
-1346,02/07/1998 12:51:00 AM,9800099,P980380058,DISTRICT 4,9826,INJURY TO PRISONER,X  W CORRY  ST,,,MALE,WHITE,MALE,BLACK
-6366,09/30/2002 08:25:00 AM,20020621,P022730352,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,1XX WEST FIFTEENTH ST,,,MALE,BLACK,MALE,WHITE
4605,04/12/2009 08:30:00 PM,2009-128911,LCP090412001262,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX PULLAN AV CINCINNATI OHIO,,,MALE,BLACK,MALE,BLACK
6517,06/27/2012 04:40:00 PM,2012-170945,LCP120627001326,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,48XX WINNESTE DR,,,MALE,BLACK,MALE,WHITE
-2731,06/22/1999 09:04:00 PM,9900499,P991731362,DISTRICT 4,9825,CHEMICAL IRRITANT,10XX  BURTON,,,MALE,BLACK,MALE,WHITE
-1561,04/30/1998 02:15:00 AM,9800317,P981200094,DISTRICT 4,9826,INJURY TO PRISONER,16XX READING RD,,,MALE,BLACK,MALE,WHITE
-1561,04/30/1998 02:15:00 AM,9800317,P981200094,DISTRICT 4,9826,INJURY TO PRISONER,16XX READING RD,,,MALE,BLACK,MALE,WHITE
-5504,09/27/2001 07:35:00 PM,20010927,P012701182,DISTRICT 2,9825,CHEMICAL IRRITANT,28XX ASHLAND AV,,,MALE,BLACK,MALE,WHITE
6004,07/14/2011 09:03:00 PM,2011-158801,LCP110714001493,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,17XX RACE ST,,,MALE,BLACK,MALE,WHITE
8172,11/03/2015 01:18:00 PM,2015-206796,LCP151103000773,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX READING RD,,,MALE,WHITE,MALE,BLACK
-1625,05/28/1998 02:01:00 AM,9800383,P981480111,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX E MCMICKEN,,,OTHER,UNKNOWN,MALE,WHITE
-2137,10/31/1998 07:20:00 PM,9800898,P983041149,DISTRICT 5,9826,INJURY TO PRISONER,14XX AMBROSE,,,MALE,BLACK,MALE,BLACK
3029,03/19/2007 11:53:00 PM,2007-95937,P070781689,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX E 5TH ST,,,MALE,BLACK,MALE,WHITE
5359,06/18/2010 02:24:00 AM,2010-144874,LCP100618000171,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX W 6TH ST,,,MALE,WHITE,FEMALE,BLACK
-5147,06/01/2001 08:12:00 AM,20010567,P011520287,DISTRICT 4,9825,CHEMICAL IRRITANT,4XX LIBERTY HILL ST,,,MALE,BLACK,MALE,BLACK
1771,11/01/2005 11:42:00 PM,2005-75513,P053051857,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX CARMALT,,,MALE,BLACK,MALE,WHITE
1771,11/01/2005 11:42:00 PM,2005-75513,P053051857,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX CARMALT,,,MALE,BLACK,MALE,WHITE
-415,01/12/1997 03:00:00 AM,9700054,P970120153,DISTRICT 1,9826,INJURY TO PRISONER,7XX W PETE ROSE WAY,,,MALE,WHITE,MALE,BLACK
7367,02/16/2014 02:30:00 AM,2014-190626,LCP140216000091,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX SYCAMORE,,,MALE,BLACK,MALE,WHITE
-63,08/16/1996 10:30:00 PM,9600216,P962291090,DISTRICT 5,9826,INJURY TO PRISONER,54XX BAHAM TERRACE,,,MALE,WHITE,MALE,BLACK
-7644,03/06/2004 12:45:00 AM,20040143,P040660065,DISTRICT 1,9825,CHEMICAL IRRITANT,7XX W PETE ROSE WAY,,,MALE,WHITE,MALE,BLACK
6038,08/06/2011 12:57:00 AM,2011-159676,LCP110806000085,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX E LIBERTY ST,,,MALE,BLACK,MALE,BLACK
1663,10/15/2005 05:42:00 PM,2005-74127,P052881252,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,4XX W 9TH ST 09,,,MALE,BLACK,MALE,BLACK
-6521,11/15/2002 08:48:00 PM,20020776,P023191335,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,15XX QUEEN CITY AV,,,MALE,BLACK,MALE,WHITE
-3260,12/01/1999 12:51:00 AM,9901030,P993350047,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX WESTERN,,,MALE,BLACK,MALE,WHITE
-1961,09/25/1998 12:10:00 AM,9800721,P982671408,DISTRICT 5,9826,INJURY TO PRISONER,24XX RAVINE,,,MALE,BLACK,MALE,WHITE
1845,12/22/2005 03:10:00 AM,2005-76793,P053560192,DISTRICT 5,9826,INJURY TO PRISONER,12XX HOPPLE ST,,,MALE,BLACK,MALE,BLACK
-2228,12/28/1998 06:48:00 PM,9800989,P983620901,DISTRICT 2,9825,CHEMICAL IRRITANT,67XX CLOUGH [PIKE,,,FEMALE,WHITE,FEMALE,WHITE
5962,06/09/2011 02:45:00 PM,2011-158065,LCP110609000866,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX W 5TH ST,,,MALE,BLACK,MALE,BLACK
-6122,06/16/2002 01:26:00 PM,20020375,P021670567,DISTRICT 4,9826,INJURY TO PRISONER,58XX RHODE ISLAND AV,,,MALE,BLACK,FEMALE,BLACK
6513,06/25/2012 04:35:00 PM,2012-170833,LCP120625001111,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX BLEECKER LN CINCINNATI OH 45211,,,MALE,BLACK,MALE,WHITE
6513,06/25/2012 04:35:00 PM,2012-170833,LCP120625001111,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX BLEECKER LN CINCINNATI OH 45211,,,MALE,BLACK,MALE,WHITE
5815,03/15/2011 08:10:00 PM,2011-154608,110315001570,OUTSIDE CITY,9823,NONCOMPLIANT SUSPECT/ARRESTEE,50XX GLENCROSSING WAY,,,FEMALE,WHITE,MALE,WHITE
-3688,04/29/2000 01:45:00 AM,20000380,P001200121,DISTRICT 5,9826,INJURY TO PRISONER,27XX COY,,,MALE,WHITE,FEMALE,WHITE
7520,07/30/2014 11:50:00 AM,2014-193424,14070000495,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,4XX COURT ST,,,MALE,BLACK,MALE,WHITE
-8141,08/25/2004 04:48:00 PM,20040645,P042381159,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX REPUBLIC ST,,,MALE,BLACK,MALE,WHITE
-2169,12/10/1998 12:34:00 PM,9800930,P983440545,DISTRICT 3,9825,CHEMICAL IRRITANT,33XX BOWLING GREEN,,,FEMALE,BLACK,MALE,BLACK
3338,07/28/2007 02:32:00 PM,2007-101604,P072090842,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX W MCMILLAN ST,,,MALE,BLACK,FEMALE,BLACK
-5101,05/27/2001 06:23:00 AM,20010521,P011470299,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX WALNUT STREET,,,MALE,BLACK,MALE,WHITE
-3000,09/10/1999 05:20:00 PM,9900769,P992530985,DISTRICT 3,9825,CHEMICAL IRRITANT,20XX  BALTIMORE,,,MALE,BLACK,MALE,WHITE
8498,06/25/2016 01:34:00 AM,2016-214584,LCP062620160000177,DISTRICT 5,9826,INJURY TO PRISONER,XX E HOLISTER AV,,,MALE,BLACK,MALE,WHITE
2610,09/16/2006 02:41:00 AM,2006-88463,#P062590262,DISTRICT 2,9825,CHEMICAL IRRITANT,32XX LINWOOD AV,,,MALE,WHITE,MALE,BLACK
-113,07/15/1996 02:00:00 PM,9600268,P961970503,DISTRICT 2,9825,CHEMICAL IRRITANT,18XX CLARION AV,,,MALE,BLACK,FEMALE,WHITE
5697,12/14/2010 08:50:00 PM,2011-152110,LCP101214001572,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,15XX CENTRAL PKWY,,,MALE,BLACK,MALE,WHITE
-7416,11/17/2003 09:33:00 AM,20030843,P033210615,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,29XX FOUR TOWERS DR,,,MALE,ASIAN,FEMALE,WHITE
6475,06/03/2012 09:10:00 PM,2012-170087,LCP120603001331,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX CONSIDINE AV,,,MALE,BLACK,MALE,BLACK
-6377,10/07/2002 09:35:00 PM,20020632,,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX EZZARD CHARLES DR,,,MALE,WHITE,MALE,WHITE
-2135,11/14/1998 01:18:00 AM,9800896,P983180113,DISTRICT 5,9825,CHEMICAL IRRITANT,26XX  CHESTERFIELD,,,MALE,WHITE,MALE,WHITE
-4982,04/11/2001 08:00:00 PM,20010401,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,29XX GILBERT AV AT LINCOLN AV,,,OTHER,UNKNOWN,MALE,WHITE
-4982,04/11/2001 08:00:00 PM,20010401,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,29XX GILBERT AV AT LINCOLN AV,,,OTHER,UNKNOWN,MALE,WHITE
-3279,12/15/1999 02:03:00 PM,9901049,P993490813,DISTRICT 2,9825,CHEMICAL IRRITANT,35XX MONTGOMERY,,,FEMALE,BLACK,FEMALE,WHITE
-239,10/30/1996 10:30:00 PM,9600394,P963041212,DISTRICT 1,9825,CHEMICAL IRRITANT,6XX CLARK ST,,,MALE,BLACK,MALE,BLACK
-4658,01/23/2001 12:22:00 AM,20010074,P010230023,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,6XX CROWN ST,,,MALE,WHITE,MALE,WHITE
5722,01/28/2011 09:56:00 PM,2011-152748,LCP110128001601,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX NOTTINGHAM DR,,,MALE,BLACK,MALE,WHITE
3367,08/10/2007 09:56:00 PM,2007-102214,P072221793,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E MC MICKEN ST,,,MALE,BLACK,MALE,BLACK
-2500,04/04/1999 01:16:00 PM,9900268,P990940441,DISTRICT 4,9825,CHEMICAL IRRITANT,36XX WASHINGTON,,,MALE,BLACK,MALE,BLACK
2241,05/10/2006 08:21:00 PM,2006-82614,P061301510,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX FAIRBANKS AV,,,MALE,BLACK,MALE,WHITE
1469,08/20/2005 04:21:00 AM,2005-71797,P052320359,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX HENRY ST,,,MALE,BLACK,MALE,WHITE
-6375,10/07/2002 09:35:00 PM,20020630,,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX EZZARD CHARLES DR,,,MALE,WHITE,MALE,WHITE
-3292,12/24/1999 12:30:00 AM,9901062,P993580022,DISTRICT 1,9825,CHEMICAL IRRITANT,11XX MAIN,,,MALE,WHITE,MALE,BLACK
-6154,06/28/2002 09:32:00 AM,20020407,P021790366,DISTRICT 3,9826,INJURY TO PRISONER,23XX MONTANA AV 05,,,FEMALE,WHITE,MALE,WHITE
4372,11/29/2008 09:05:00 PM,2008-123796,LCP081129001379,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,7XX NEAV ST,,,MALE,BLACK,MALE,WHITE
1145,05/18/2005 01:25:00 PM,2005-66669,P 051380886,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,16XX CHASE AV,,,MALE,BLACK,MALE,BLACK
1145,05/18/2005 01:25:00 PM,2005-66669,P 051380886,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,16XX CHASE AV,,,MALE,BLACK,MALE,BLACK
5390,07/04/2010 07:34:00 PM,2010-145440,LCP100704001221,DISTRICT 1,9826,INJURY TO PRISONER,X E SIXTH ST,,,MALE,HISPANIC/LATINO,FEMALE,WHITE
-612,03/19/1997 12:45:00 PM,9700256,P970780450,DISTRICT 1,9826,INJURY TO PRISONER,13XX WESTERN AV,,,MALE,BLACK,MALE,BLACK
-4221,09/28/2000 01:10:00 PM,20000917,P002720653,DISTRICT 3,9825,CHEMICAL IRRITANT,30XX BEEKMAN AV,,,MALE,BLACK,FEMALE,WHITE
-7481,12/30/2003 08:05:00 PM,20030908,P033641585,DISTRICT 4,9825,CHEMICAL IRRITANT,24XX MAPLEWOOD AVNUE,,,MALE,BLACK,MALE,WHITE
-3848,06/18/2000 02:40:00 AM,20000541,P001700231,DISTRICT 1,9826,INJURY TO PRISONER,2XX E 12TH,,,MALE,WHITE,MALE,WHITE
-3848,06/18/2000 02:40:00 AM,20000541,P001700231,DISTRICT 1,9826,INJURY TO PRISONER,2XX E 12TH,,,MALE,WHITE,MALE,WHITE
8199,11/20/2015 03:16:00 PM,2015-207409,LCP151120000965,DISTRICT 4,9826,INJURY TO PRISONER,24XX PARIS ST,,,MALE,BLACK,MALE,WHITE
8199,11/20/2015 03:16:00 PM,2015-207409,LCP151120000965,DISTRICT 4,9826,INJURY TO PRISONER,24XX PARIS ST,,,MALE,BLACK,MALE,WHITE
-3459,02/22/2000 06:05:00 PM,20000148,P000531100,DISTRICT 1,9825,CHEMICAL IRRITANT,1XX SELLEW,,,MALE,BLACK,MALE,BLACK
6254,12/27/2011 01:29:00 AM,2011-164460,LCP111227000065,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,45XX CAMBERWELL RD,,,MALE,WHITE,MALE,BLACK
6254,12/27/2011 01:29:00 AM,2011-164460,LCP111227000065,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,45XX CAMBERWELL RD,,,MALE,WHITE,MALE,BLACK
-2124,11/24/1998 07:47:00 PM,9800885,P983288115,DISTRICT 3,9825,CHEMICAL IRRITANT,6XX NEAV,,,MALE,WHITE,MALE,WHITE
4096,07/15/2008 04:40:00 PM,2008-117327,LCP080715001294,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX CITY VIEW CIR,,,MALE,BLACK,MALE,WHITE
7703,12/19/2014 07:51:00 PM,2014-197441,LCP141219001259,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX E 9TH ST,,,MALE,BLACK,MALE,WHITE
-2918,08/20/1999 03:30:00 AM,9900687,P992320227,DISTRICT 1,9826,INJURY TO PRISONER,XX W COURT,,,MALE,WHITE,MALE,BLACK
8175,11/05/2015 12:56:00 PM,2015-206847,LCP151105000689,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,50XX CASA LOMA BLVD CINCINNATI OH 45230,,,MALE,BLACK,MALE,WHITE
-8074,08/10/2004 05:45:00 PM,20040577,P02231295,DISTRICT 1,9826,INJURY TO PRISONER,XX E FIFTEENTH ST,,,MALE,BLACK,MALE,BLACK
-6408,10/03/2002 01:54:00 AM,20020663,P022760109,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,NB I75 AT 2M,,,MALE,WHITE,MALE,WHITE
-6408,10/03/2002 01:54:00 AM,20020663,P022760109,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,NB I75 AT 2M,,,MALE,WHITE,MALE,WHITE
3958,05/20/2008 01:40:00 PM,2008-114479,LCP080520000591,DISTRICT 4,9826,INJURY TO PRISONER,2XX GOODMAN ST CINCINNATI OHIO 45219,,,MALE,BLACK,MALE,WHITE
3173,05/19/2007 08:32:00 PM,2007-98588,P071391422,DISTRICT 3,9826,INJURY TO PRISONER,5XX ENRIGHT AV CINCINNATI OHIO 45205,,,FEMALE,WHITE,MALE,WHITE
3173,05/19/2007 08:32:00 PM,2007-98588,P071391422,DISTRICT 3,9826,INJURY TO PRISONER,5XX ENRIGHT AV CINCINNATI OHIO 45205,,,FEMALE,WHITE,MALE,WHITE
-2127,11/22/1998 01:07:00 AM,9800888,P983260068,DISTRICT 5,9826,INJURY TO PRISONER,42XX  VIRGINIA,,,MALE,BLACK,MALE,WHITE
5666,12/16/2010 11:45:00 PM,2010-151442,LCP101216001377,DISTRICT 1,9826,INJURY TO PRISONER,11XX WESTERN HILLS VIA,,,MALE,WHITE,FEMALE,BLACK
